	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
03/20/17	2023	9.0	2.25	0.75	0.5	4.5	4.0	80	16	238	47	122	44	19	4	37	27	12	28	16	15	1.3	4	4	127	352	2166	4756	1027	8	203	729	96	5	525	2.0	2.2	90	2	6	55	294	1.3	1.4	24	194
03/21/17	1447	5.0	2.0	1.5	1.0	8.0	2.0	92	26	172	48	19	66	29	8	28	12	8	18	10	9	0.9	7	10	231	651	2611	2619	811	36	277	1393	137	28	1082	5.0	10.3	119	6	16	223	1410	3.5	4.0	54	324
03/22/17	1872	5.0	2.25	0.25	0.5	7.5	2.0	97	21	200	43	23	58	24	5	39	37	18	23	8	7	0.4	9	10	271	426	2469	4118	605	7	213	1024	90	7	392	2.1	1.1	20	1	6	32	548	2.1	1.6	31	231
03/23/17	1492	4.0	1.5	0.75	1.0	4.0	3.0	51	14	135	36	10	42	20	5	39	23	14	27	11	9	0.9	0	115	786	646	2084	1499	710	11	174	1022	88	6	458	1.3	2.0	112	5	6	35	352	0.9	1.8	8	563
03/24/17	1286	6.5	1.0	0.0	0.5	2.0	1.0	40	13	156	48	12	29	22	7	41	24	17	18	10	9	1.1	4	2	108	447	993	2351	654	12	133	643	64	5	325	0.6	2.0	11	1	2	18	497	3.0	0.8	13	105
03/25/17	1532	4.0	2.5	2.5	0.75	5.0	5.0	71	18	211	55	25	94	25	6	30	13	8	19	12	11	1.2	0	32	251	745	2226	2658	1438	36	367	1208	77	26	1403	4.6	12.2	203	3	28	71	1226	3.8	4.4	41	318
03/26/17	141	1.0	2.0	0.0	0.0	0.0	0.0	5	13	29	83	1	0	0	0	2	0	0	0	0	0	0.0	0	0	0	25	66	10	92	1	16	41	6	0	24	0.1	0.0	5	0	0	36	83	0.1	0.0	1	3
03/27/17	408	4.0	0.0	0.0	0.0	0.0	0.0	8	8	88	87	1	0	0	0	2	0	1	0	0	0	0.0	0	0	0	32	112	585	219	4	38	136	24	2	0	0.3	0.0	1	0	0	0	303	0.5	0.0	5	7
03/28/17	975	6.0	1.0	0.0	0.0	3.5	1.0	66	27	166	68	4	26	20	8	9	2	2	3	3	2	0.3	3	5	94	90	960	1149	531	7	111	484	66	4	385	1.4	0.4	9	0	3	24	482	0.9	0.4	17	98
03/29/17	1741	3.5	2.25	0.0	0.0	2.5	4.0	47	11	309	71	12	9	0	0	15	6	3	11	10	9	1.2	0	43	208	206	1488	374	1086	15	247	774	99	7	238	1.5	0.5	14	1	5	79	1040	2.1	1.2	18	229
03/30/17	2114	3.5	4.5	0.75	2.75	7.0	8.0	103	20	226	43	37	106	48	9	40	31	13	42	13	12	1.0	3	1	225	1631	4651	3384	1872	13	466	1774	90	23	2599	2.6	8.3	64	6	20	268	420	1.5	2.6	18	362
03/31/17	1013	9.0	1.25	0.0	0.0	1.5	0.0	38	15	203	80	15	55	43	17	6	1	1	2	3	3	0.2	1	24	29	162	1262	603	736	8	229	609	109	6	56	1.2	0.4	68	0	4	124	167	0.6	0.5	11	105
04/01/17	1735	4.5	2.5	1.0	2.25	3.5	2.0	61	14	232	54	27	109	60	14	35	24	12	24	14	11	2.8	1	1	130	965	2830	1985	1773	13	347	1214	118	10	1012	1.2	2.7	18	8	4	48	419	1.6	1.8	16	239
